Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
42437341,Love That Moves the Sun: Vittoria Colonna and Michaelangelo Buonarroti,Linda Cardillo,"Cardillo, Linda",,"=""""","=""""",0,4.27,Bellastoria Press LLP,Paperback,528,2018,2007,,2019/08/28,to-read,to-read (#125),to-read,,,,0,0
99561,Looking for Alaska,John Green,"Green, John",,"=""1435249151""","=""9781435249158""",4,3.96,Speak,Paperback,221,2006,2005,2019/02/01,2019/01/15,2019,2019 (#5),read,"I seem to find myself in a Labyrinth from time to time, and somehow find my way out. Although, the labyrinths I successively encounter through life tend to be more elaborate, less physical, more daunting, and less confident in the escape not just leading into another labyrinth wondering if I'm still trapped.<br/><br/>Miles' obsession with last words, I thought that was clever... if exiting the Labyrinth means death, last words are just that much more important.. its a state of mind at the end and is very telling of the person. It made me think of what my last words might be.<br/><br/>This book reminded me to read more [a:Gabriel García Márquez|13450|Gabriel García Márquez|https://images.gr-assets.com/authors/1502310670p2/13450.jpg] :)",,,1,0
141270,"Arsène Lupin, Gentleman-Thief (Arsène Lupin, #1)",Maurice Leblanc,"Leblanc, Maurice","Michael Sims, Alexander Teixeira de Mattos","=""""","=""""",0,3.80,Penguin Classics,Paperback,279,2007,1907,,2019/08/25,to-read,to-read (#124),to-read,,,,0,0
42593791,The City of Folding Faces,Jayinee Basu,"Basu, Jayinee",,"=""1941360262""","=""9781941360262""",0,3.81,Lanternfish Press,Paperback,168,2019,,,2019/08/23,to-read,to-read (#123),to-read,,,,0,0
25733658,Into the Magic Shop: A Neurosurgeon's Quest to Discover the Mysteries of the Brain and the Secrets of the Heart,James R. Doty,"Doty, James R.",,"=""1594632987""","=""9781594632983""",0,4.22,Avery,Hardcover,288,2016,2016,,2019/08/18,to-read,to-read (#122),to-read,,,,0,0
415,Gravity’s Rainbow,Thomas Pynchon,"Pynchon, Thomas",,"=""0143039946""","=""9780143039945""",0,4.01,Penguin Books,Paperback,776,2006,1973,,2019/08/18,to-read,to-read (#121),to-read,,,,0,0
30142270,Happy: Why more or less everything is absolutely fine,Derren Brown,"Brown, Derren",,"=""0593076206""","=""9780593076200""",0,4.05,Bantam Press,Paperback,448,2017,2016,,2019/08/18,to-read,to-read (#120),to-read,,,,0,0
779021,The Happy Prince and Other Tales,Oscar Wilde,"Wilde, Oscar",,"=""0679444734""","=""9780679444732""",0,4.17,Everyman's Library,Hardcover,96,1995,1888,,2019/08/11,to-read,to-read (#118),to-read,,,,0,0
122649,Lady Windermere's Fan,Oscar Wilde,"Wilde, Oscar",,"=""014062399X""","=""9780140623994""",0,3.92,Penguin Books,Paperback,70,1995,1892,,2019/08/11,to-read,to-read (#117),to-read,,,,0,0
79121,The Happy Prince,Oscar Wilde,"Wilde, Oscar",Jane Ray,"=""0525453679""","=""9780525453673""",0,4.20,Dutton Juvenile,Hardcover,32,1995,1888,,2019/08/11,to-read,to-read (#116),to-read,,,,0,0
45685,The Canterville Ghost,Oscar Wilde,"Wilde, Oscar",,"=""""","=""""",0,3.88,Walker Books,Hardcover,126,1997,1887,,2019/08/11,to-read,to-read (#115),to-read,,,,0,0
5296,An Ideal Husband,Oscar Wilde,"Wilde, Oscar",,"=""048641423X""","=""9780486414232""",0,4.01,Dover Publications,Paperback,78,2001,1893,,2019/08/11,to-read,to-read (#114),to-read,,,,0,0
188094,Katherine Mansfield: A Secret Life,Claire Tomalin,"Tomalin, Claire",,"=""0140117156""","=""9780140117158""",0,3.90,Penguin UK,Paperback,304,1989,1989,,2019/08/10,to-read,to-read (#113),to-read,,,,0,0
31241,David Copperfield,Charles Dickens,"Dickens, Charles",David Gates,"=""0679783415""","=""9780679783411""",5,4.04,Modern Library,Paperback,821,2000,1850,2019/01/28,2019/01/18,2019,2019 (#4),read,"This is one of the few novels that I felt <b>complete</b> at its finish. Yes, parts of it are slow, but if you pay attention, and think deeply about the characters and how everything plays out chapter by chapter.... you will get entranced in the beautiful Dickensian language and the plots eventually embodying the protagonist, David Copperfield.<br/><br/>The novel is about David Copperfield, and his coming-of-age... It features everything, from childhood abuse and trauma, schooling, loss, friendship, family, love, marriage, business, villains etc... Alogn the way, it helped me realize that things CAN be alright, and with time, patience and perseverance,  I could overcome many obstacles.<br/><br/>Read this if you love the English language, enjoy reading a novel with a merry number of colorful characters, and interested in journeying in Dickens' shoes.<br/><br/>Definitely recommended, and I will have to catch up on some other Dickens' novels, apart from [b:A Tale of Two Cities|1953|A Tale of Two Cities|Charles Dickens|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344922523l/1953._SY75_.jpg|2956372] and [b:Great Expectations|2623|Great Expectations|Charles Dickens|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327920219l/2623._SY75_.jpg|2612809] which I love.",,,1,0
26892110,The Library at Mount Char,Scott  Hawkins,"Hawkins, Scott",,"=""0553418629""","=""9780553418620""",3,4.07,Crown,Paperback,390,2016,2015,2019/01/15,2019/01/11,2019,2019 (#3),read,"This book opens up very strong, and the characters and their mysterious origins and powers are quite interesting. The central plot is about 12 adopted siblings with special unique powers, working together to go back to their home, the mysterious 'Library'.  Along the way you learn about their powers and how they came to be, as well as their adopted 'Father'.<br/><br/>Sadly, apart from that, this book seemed like a dead end. The characters and concepts had potential, but the overall excitement and plot seemed quite dull as you progressed. Read if you like super power themed science fiction fantasy....",,,1,0
414999,Childhood’s End,Arthur C. Clarke,"Clarke, Arthur C.",,"=""""","=""""",4,4.12,Del Rey Books,Mass Market Paperback,224,1987,1953,2019/01/05,2019/01/02,2019,2019 (#1),read,"This is a book about human civilization's evolution. The Overlords fix all our problems and unite humanity, but we slowly regress over the decades from finding meaning in life to having no purpose at all, life becomes all leisure. The universe of course, has different plans for humanity and provides us with an ultimate purpose. This story is very multi-layered and hits upon so many philosophical and religious questions. Sci-Fi readers, this is a must; as well as those of you interested in Utopian societies, philosophical questions, and experimenting with civilization.",,,1,0
16509,"The First Book of Swords (Books of Swords, #1)",Fred Saberhagen,"Saberhagen, Fred",,"=""0812523563""","=""9780812523560""",0,3.80,TOR,Mass Market Paperback,309,1984,1983,,2019/08/07,to-read,to-read (#112),to-read,,,,0,0
9597,Player Piano,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333781""","=""9780385333788""",0,3.90,Dial Press,Paperback,341,2006,1952,,2019/08/07,to-read,to-read (#111),to-read,,,,0,0
15888,An Instance of the Fingerpost,Iain Pears,"Pears, Iain",,"=""1573227951""","=""9781573227957""",0,3.94,Penguin Publishing Group,Paperback,704,2000,1997,,2019/08/06,to-read,to-read (#110),to-read,,,,0,0
236202,Tik-Tok,John Sladek,"Sladek, John",,"=""""","=""""",0,3.70,Gollancz,Paperback,192,2002,1983,,2019/08/06,to-read,to-read (#109),to-read,,,,0,0
205189,Auto-da-Fé,Elias Canetti,"Canetti, Elias",C.V. Wedgwood,"=""0374518793""","=""9780374518790""",0,4.02,"Farrar, Straus and Giroux",Paperback,464,1984,1935,,2019/08/06,to-read,to-read (#108),to-read,,,,0,0
40916,Night Lamp,Jack Vance,"Vance, Jack",,"=""0312864728""","=""9780312864729""",0,3.79,Tor Books,Paperback,380,1998,1996,,2019/08/06,to-read,to-read (#107),to-read,,,,0,0
6881206,The Night Bookmobile,Audrey Niffenegger,"Niffenegger, Audrey",,"=""0224089528""","=""9780224089524""",0,3.49,Jonathan Cape,Hardcover,40,2010,2008,,2019/08/06,to-read,to-read (#106),to-read,,,,0,0
5954,Narcissus and Goldmund,Hermann Hesse,"Hesse, Hermann",Ursule Molinaro,"=""0374506841""","=""9780374506841""",0,4.22,"The Noonday Press / Farrar, Straus Giroux",Paperback,315,1997,1930,,2019/08/06,to-read,to-read (#104),to-read,,,,0,0
26195941,The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power,Shoshana Zuboff,"Zuboff, Shoshana",,"=""1610395697""","=""9781610395694""",0,4.06,PublicAffairs,Hardcover,691,2019,2018,,2019/08/01,to-read,to-read (#103),to-read,,,,0,0
139069,Endurance: Shackleton's Incredible Voyage,Alfred Lansing,"Lansing, Alfred",,"=""""","=""""",0,4.45,Carroll & Graf Publishers,Hardcover,282,1999,1959,,2019/07/31,to-read,to-read (#102),to-read,,,,0,0
16788,Fragile Things: Short Fictions and Wonders,Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",0,3.95,William Morrow,Hardcover,360,2006,2006,,2019/07/30,to-read,to-read (#101),to-read,,,,0,0
360436,"Funeral Games (Alexander the Great, #3)",Mary Renault,"Renault, Mary",,"=""0099463490""","=""9780099463498""",0,4.03,ARROW (RAND),Paperback,284,2003,1981,,2019/07/30,to-read,to-read (#100),to-read,,,,0,0
13103,"The Celestine Prophecy (Celestine Prophecy, #1)",James Redfield,"Redfield, James",,"=""""","=""""",0,3.73,Warner Books,Paperback,247,1995,1993,,2019/07/28,to-read,to-read (#99),to-read,,,,0,0
80369,Discipline and Punish: The Birth of the Prison,Michel Foucault,"Foucault, Michel",Alan Sheridan,"=""0679752552""","=""9780679752554""",0,4.24,Vintage,Paperback,333,1995,1975,,2019/07/25,to-read,to-read (#98),to-read,,,,0,0
36613747,How to Change Your Mind: The New Science of Psychedelics,Michael Pollan,"Pollan, Michael",,"=""0241294223""","=""9780241294222""",0,4.27,ALLEN LANE,Hardcover,480,2018,2018,,2019/07/21,to-read,to-read (#97),to-read,,,,0,0
193755,The Diving Bell and the Butterfly: A Memoir of Life in Death,Jean-Dominique Bauby,"Bauby, Jean-Dominique",Jeremy Leggatt,"=""0375701214""","=""9780375701214""",0,3.98,"Vintage International, New York",Paperback,132,1998,1997,,2019/07/17,to-read,to-read (#96),to-read,,,,0,0
20696006,Being Mortal: Medicine and What Matters in the End,Atul Gawande,"Gawande, Atul",,"=""0805095152""","=""9780805095159""",0,4.49,Metropolitan Books,Hardcover,282,2014,2014,,2019/07/11,to-read,to-read (#95),to-read,,,,0,0
30835567,Hit Refresh: The Quest to Rediscover Microsoft's Soul and Imagine a Better Future for Everyone,Satya Nadella,"Nadella, Satya","Greg Shaw, Jill Tracie Nichols","=""0062652508""","=""9780062652508""",0,3.79,Harper Business,Hardcover,273,2017,2017,,2019/07/09,to-read,to-read (#94),to-read,,,,0,0
37076222,Loki: Where Mischief Lies,Mackenzi Lee,"Lee, Mackenzi",,"=""136802226X""","=""9781368022262""",0,3.92,Marvel Press,Hardcover,408,2019,2019,,2019/07/09,to-read,to-read (#93),to-read,,,,0,0
