Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
220999755,The Dance and the Fire,Daniel Saldaña París,"París, Daniel Saldaña",,"=""1646222458""","=""9781646222452""",0,3.68,Catapult,Hardcover,256,2025,2021,,2025/07/07,to-read,to-read (#1128),to-read,,,,0,0
939870,The Magus,John Fowles,"Fowles, John",,"=""""","=""""",5,4.05,Laurel-Leaf Books,Mass Market Paperback,668,1985,1965,2014/07/30,2019/04/10,"2014, currently-reading","2014 (#35), currently-reading (#1)",currently-reading,,,,2,0
35852435,Becoming Supernatural: How Common People are Doing the Uncommon,Joe Dispenza,"Dispenza, Joe",,"=""1401953107""","=""9781401953102""",0,4.26,Hay House LLC,Kindle Edition,375,2017,2017,,2025/07/05,to-read,to-read (#1127),to-read,,,,0,0
233800039,"The Devils (The Devils, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""125088005X""","=""9781250880055""",3,4.32,Tor Books,Hardcover,560,2025,2025,2025/07/04,2025/02/19,2025,2025 (#25),read,,,,1,0
48982796,The Posthumous Memoirs of Brás Cubas,Machado de Assis,"Assis, Machado de","Flora Thomson-DeVeaux, Dave Eggers","=""""","=""""",4,4.26,Penguin Classics,Paperback,368,2020,1881,2025/06/14,2025/04/21,2025,2025 (#24),read,,,,1,0
227863236,Glyph (Gliff #2),Ali Smith,"Smith, Ali",,"=""0241665590""","=""9780241665596""",0,4.25,Hamish Hamilton,Hardcover,,2026,2026,,2025/04/18,to-read,to-read (#1106),to-read,,,,0,0
44669797,How to Mend: Motherhood and Its Ghosts,Iman Mersal,"Mersal, Iman",,"=""3956794257""","=""9783956794254""",0,4.41,Sternberg Pr,Paperback,166,2019,,,2025/06/06,to-read,to-read (#1126),to-read,,,,0,0
35187179,The Conference of the Birds,Attar of Nishapur,"Nishapur, Attar of",Sholeh Wolpé,"=""0393355543""","=""9780393355543""",0,4.23,W. W. Norton & Company,Paperback,384,2018,1177,,2025/06/06,to-read,to-read (#1125),to-read,,,,0,0
181110045,The Briar Club,Kate Quinn,"Quinn, Kate",,"=""0063244748""","=""9780063244740""",0,4.30,William Morrow,Hardcover,432,2024,2024,,2025/06/06,to-read,to-read (#1124),to-read,,,,0,0
39689572,Unlanguage,Michael Cisco,"Cisco, Michael",,"=""1621052664""","=""9781621052661""",0,4.49,Eraserhead Press,Paperback,278,2018,2018,,2025/06/01,to-read,to-read (#1123),to-read,,,,0,0
24733341,Suite for Barbara Loden,Nathalie Léger,"Léger, Nathalie","Natasha Lehrer, Cécile Menon","=""0993009301""","=""9780993009303""",4,4.12,Les Fugitives,Paperback,121,2015,2012,2025/05/30,2025/03/11,2025,2025 (#22),read,,,,1,0
25491,Escape from Freedom,Erich Fromm,"Fromm, Erich",,"=""0805031499""","=""9780805031492""",0,4.27,Holt Paperbacks,Paperback,301,1994,1941,,2025/05/27,to-read,to-read (#1122),to-read,,,,0,0
14142,The Art of Loving,Erich Fromm,"Fromm, Erich",,"=""0061129739""","=""9780061129735""",0,4.00,Harper Perennial Modern Classics,Paperback,180,2006,1956,,2025/05/27,to-read,to-read (#1121),to-read,,,,0,0
53492652,An Apprenticeship or The Book of Pleasures,Clarice Lispector,"Lispector, Clarice","Stefan Tobler, Sheila Heti, Benjamin Moser","=""0811230619""","=""9780811230612""",3,4.27,New Directions,Hardcover,176,2021,1969,2025/05/04,2025/04/01,2025,2025 (#23),read,,,,1,0
220772912,"The Eye of the Bedlam Bride (Dungeon Crawler Carl, #6)",Matt Dinniman,"Dinniman, Matt",,"=""059395601X""","=""9780593956014""",3,4.67,Ace,Hardcover,832,2025,2023,2025/05/26,2025/04/19,2025,2025 (#21),read,,,,1,0
150247395,"The Tainted Cup (Shadow of the Leviathan, #1)",Robert Jackson Bennett,"Bennett, Robert Jackson",,"=""1984820702""","=""9781984820709""",0,4.30,Del Rey,Hardcover,410,2024,2024,,2025/05/23,to-read,to-read (#1120),to-read,,,,0,0
230272137,"The Strength of the Few (Hierarchy, #2)",James  Islington,"Islington, James",,"=""1982141239""","=""9781982141233""",0,4.69,S&S/Saga Press,Hardcover,736,2025,2025,,2025/05/21,to-read,to-read (#1119),to-read,,,,0,0
220772913,"The Butcher's Masquerade (Dungeon Crawler Carl, #5)",Matt Dinniman,"Dinniman, Matt",,"=""0593955994""","=""9780593955994""",4,4.69,Ace,Hardcover,707,2025,2022,2025/05/11,2025/04/19,2025,2025 (#20),read,,,,1,0
220772908,"The Gate of the Feral Gods (Dungeon Crawler Carl, #4)",Matt Dinniman,"Dinniman, Matt",,"=""0593955978""","=""9780593955970""",3,4.56,Ace,Hardcover,589,2025,2021,2025/05/05,2025/04/19,2025,2025 (#19),read,,,,1,0
198563691,Original Sins: The (Mis)education of Black and Native Children and the Construction of American Racism,Eve L. Ewing,"Ewing, Eve L.",,"=""0593243706""","=""9780593243701""",0,4.57,One World,Hardcover,400,2025,2025,,2025/05/04,to-read,to-read (#1118),to-read,,,,0,0
205335957,"The Knight and the Moth (The Stonewater Kingdom, #1)",Rachel Gillig,"Gillig, Rachel",,"=""0356522962""","=""9780356522968""",0,4.40,Orbit,Hardcover,400,2025,2025,,2025/05/04,to-read,to-read (#1117),to-read,,,,0,0
299448,Secret Ingredients: The New Yorker Book of Food and Drink,David Remnick,"Remnick, David",,"=""140006547X""","=""9781400065479""",0,4.04,Random House,Hardcover,582,2007,1976,,2025/05/04,to-read,to-read (#1116),to-read,,,,0,0
762390,The Hour of the Star,Clarice Lispector,"Lispector, Clarice",Giovanni Pontiero,"=""0811211908""","=""9780811211901""",0,4.11,New Directions,Paperback,96,1992,1977,,2025/05/04,to-read,to-read (#1115),to-read,,,,0,0
220999031,The Dance and the Fire,Daniel Saldaña París,"París, Daniel Saldaña",,"=""1646222466""","=""9781646222469""",0,3.68,Catapult,Kindle Edition,,2025,2021,,2025/05/02,to-read,to-read (#1114),to-read,,,,0,0
215149209,"The Floating World (The Floating World, #1)",Axie Oh,"Oh, Axie",,"=""1250853087""","=""9781250853080""",0,3.85,Feiwel & Friends,Hardcover,368,2025,2025,,2025/05/01,to-read,to-read (#1113),to-read,,,,0,0
62805,The Sound of Waves,Yukio Mishima,"Mishima, Yukio",,"=""0099289989""","=""9780099289982""",0,3.77,Vintage Classics,Paperback,183,2000,1954,,2025/04/28,to-read,to-read (#1112),to-read,,,,0,0
157367766,El principio del placer y otros cuentos (Coleccion Andanzas),José Emilio Pacheco,"Pacheco, José Emilio",,"=""""","=""""",0,4.03,Tusquets,Paperback,0,,1972,,2025/04/28,to-read,to-read (#1111),to-read,,,,0,0
14706,"Faust, First Part",Johann Wolfgang von Goethe,"Goethe, Johann Wolfgang von",Peter Salm,"=""0553213482""","=""9780553213485""",0,3.83,Bantam Classics,Paperback,327,1988,1808,,2025/04/28,to-read,to-read (#1110),to-read,,,,0,0
228928465,"Carl's Book of Boom (Dungeon Crawler Carl, #8)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",0,4.46,,Kindle Edition,,2026,2025,,2025/04/26,to-read,to-read (#1109),to-read,,,,0,0
211721809,"The Dungeon Anarchist's Cookbook (Dungeon Crawler Carl, #3)",Matt Dinniman,"Dinniman, Matt",,"=""0593820282""","=""9780593820285""",3,4.47,Ace,Hardcover,532,2024,2021,2025/04/26,2025/04/19,2025,2025 (#18),read,,,,1,0
51799,The Decameron,Giovanni Boccaccio,"Boccaccio, Giovanni",G.H. McWilliam,"=""0140449302""","=""9780140449303""",0,3.88,Penguin Books,Paperback,909,2003,1349,,2025/04/24,to-read,to-read (#1108),to-read,,,,0,0
212393364,"Carl's Doomsday Scenario (Dungeon Crawler Carl, #2)",Matt Dinniman,"Dinniman, Matt",,"=""0593820266""","=""9780593820261""",3,4.53,Ace,Hardcover,371,2024,2021,2025/04/22,2025/04/19,2025,2025 (#17),read,,,,1,0
82888,Dom Casmurro,Machado de Assis,"Assis, Machado de",,"=""0850515033""","=""9780850515039""",0,4.32,Luso-Brazilian Books,Paperback,176,2005,1899,,2025/04/21,to-read,to-read (#1107),to-read,,,,0,0
216017751,"This Inevitable Ruin (Dungeon Crawler Carl, #7)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",0,4.68,,Kindle Edition,724,2024,2024,,2025/04/19,to-read,to-read (#1107),to-read,,,,0,0
203164415,Gliff,Ali Smith,"Smith, Ali",,"=""0593701569""","=""9780593701560""",3,3.95,Pantheon,Hardcover,288,2025,2024,2025/04/18,2025/03/28,2025,2025 (#16),read,,,,1,0
54860585,Razorblade Tears,S.A. Cosby,"Cosby, S.A.",,"=""""","=""""",0,4.11,Flatiron Books,Hardcover,336,2021,2021,,2025/04/16,to-read,to-read (#1105),to-read,,,,0,0
49094710,A Bookshop In Algiers,Kaouther Adimi,"Adimi, Kaouther",,"=""1788164695""","=""9781788164696""",0,3.69,Serpent's Tail,Hardcover,208,2020,2017,,2025/04/15,to-read,to-read (#1104),to-read,,,,0,0
59516880,Quarterlife: The Search for Self in Early Adulthood,Satya Doyle Byock,"Byock, Satya Doyle",,"=""0525511660""","=""9780525511663""",0,3.98,Random House,Hardcover,240,2022,,,2025/04/14,to-read,to-read (#1103),to-read,,,,0,0
214151232,Luminous,Silvia Park,"Park, Silvia",,"=""1668021668""","=""9781668021668""",3,3.70,Simon & Schuster,Hardcover,391,2025,2025,2025/04/11,2025/03/28,2025,2025 (#14),read,,,,1,0
203200544,Perfection,Vincenzo Latronico,"Latronico, Vincenzo",Sophie Hughes,"=""1804271055""","=""9781804271056""",0,3.67,Fitzcarraldo Editions,Kindle Edition,112,2025,2022,,2025/04/09,to-read,to-read (#1102),to-read,,,,0,0
205673377,Under the Eye of the Big Bird,Hiromi Kawakami,"Kawakami, Hiromi",Asa Yoneda,"=""1593766114""","=""9781593766115""",0,3.76,Soft Skull,Hardcover,278,2024,2016,,2025/04/09,to-read,to-read (#1101),to-read,,,,0,0
208511276,On the Calculation of Volume II (Book II),Solvej Balle,"Balle, Solvej",Barbara J. Haveland,"=""0811237273""","=""9780811237277""",0,3.97,New Directions,Paperback,176,2024,2020,,2025/04/09,to-read,to-read (#1100),to-read,,,,0,0
208511270,On the Calculation of Volume I,Solvej Balle,"Balle, Solvej",Barbara J. Haveland,"=""0811237257""","=""9780811237253""",0,3.72,New Directions,Paperback,160,2024,2020,,2025/04/09,to-read,to-read (#1099),to-read,,,,0,0
20893306,Jason and the Argonauts (Penguin Classics),Apollonius of Rhodes,"Rhodes, Apollonius of","Aaron Poochigian, Benjamin Acosta-Hughes","=""0143106864""","=""9780143106869""",3,3.83,Penguin Classics,Paperback,272,2014,-250,2025/03/26,2025/03/10,2025,2025 (#15),read,,,,1,0
21527802,Pale Fire,Vladimir Nabokov,"Nabokov, Vladimir",,"=""""","=""""",4,4.17,Vintage,Paperback,315,1989,1962,2025/04/04,2019/04/29,2025,2025 (#13),read,,,,1,0
213618149,O Sinners!,Nicole Cuffy,"Cuffy, Nicole",,"=""0593597443""","=""9780593597446""",0,3.53,One World,Hardcover,464,2025,2025,,2025/03/30,to-read,to-read (#1098),to-read,,,,0,0
55868456,The Spear Cuts Through Water,Simon Jimenez,"Jimenez, Simon",,"=""0593156595""","=""9780593156599""",0,4.16,Del Rey,Hardcover,525,2022,2022,,2025/03/30,to-read,to-read (#1097),to-read,,,,0,0
211003694,The Fourth Consort,Edward Ashton,"Ashton, Edward",,"=""1250286336""","=""9781250286338""",0,3.94,St. Martin's Press,Hardcover,288,2025,2025,,2025/03/28,to-read,to-read (#1096),to-read,,,,0,0
214152206,Jane Austen's Bookshelf: A Rare Book Collector's Quest to Find the Women Writers Who Shaped a Legend,Rebecca Romney,"Romney, Rebecca",,"=""1982190248""","=""9781982190248""",0,4.39,S&S/ Marysue Rucci Books,Hardcover,455,2025,2025,,2025/03/28,to-read,to-read (#1095),to-read,,,,0,0
215020997,Bury Our Bones in the Midnight Soil,V.E. Schwab,"Schwab, V.E.",Victoria Schwab,"=""1035064642""","=""9781035064649""",0,4.20,Tor,Hardcover,535,2025,2025,,2025/03/28,to-read,to-read (#1094),to-read,,,,0,0
219521090,Dream Count,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",,"=""059380273X""","=""9780593802731""",0,3.87,Knopf,Kindle Edition,416,2025,2025,,2025/03/28,to-read,to-read (#1093),to-read,,,,0,0
222260301,"Whispers of the Storm (Song of the Damned, #1)",Z.B. Steele,"Steele, Z.B.",,"=""""","=""""",0,4.38,,Kindle Edition,402,2025,,,2025/03/25,to-read,to-read (#1092),to-read,,,,0,0
75710219,The Sirah of the Prophet ﷺ: A Contemporary and Original Analysis,Abu Ammaar Yasir Qadhi,"Qadhi, Abu Ammaar Yasir",Salah Sharief,"=""086037873X""","=""9780860378730""",0,4.86,Kube Publishing Ltd,Paperback,512,2023,,,2025/03/24,to-read,to-read (#1091),to-read,,,,0,0
214152321,The Persians,Sanam Mahloudji,"Mahloudji, Sanam",,"=""166801579X""","=""9781668015797""",0,3.45,Scribner,Hardcover,384,2025,2024,,2025/03/23,to-read,to-read (#1090),to-read,,,,0,0
68494,"Perdido Street Station (New Crobuzon, #1)",China Miéville,"Miéville, China",,"=""0345459407""","=""9780345459404""",0,3.98,Ballantine Del Rey,Mass Market Paperback,710,2003,2000,,2025/03/23,to-read,to-read (#1089),to-read,,,,0,0
2142191,Ex-Wife,Ursula Parrott,"Parrott, Ursula",,"=""0452262240""","=""9780452262249""",0,4.14,Plume,Paperback,224,1989,1929,,2025/03/17,to-read,to-read (#1088),to-read,,,,0,0
53413,Hopscotch,Julio Cortázar,"Cortázar, Julio",Gregory Rabassa,"=""0394752848""","=""9780394752846""",0,4.20,Pantheon,Paperback,564,1987,1963,,2025/03/11,to-read,to-read (#1087),to-read,,,,0,0
101999,Jealousy,Alain Robbe-Grillet,"Robbe-Grillet, Alain",Richard Howard,"=""0714503118""","=""9780714503110""",0,3.54,Riverrun Press,Paperback,103,1995,1957,,2025/03/11,to-read,to-read (#1086),to-read,,,,0,0
215749072,Liquid: A Love Story,Mariam Rahmani,"Rahmani, Mariam",,"=""1643756508""","=""9781643756509""",0,2.93,Algonquin Books,Hardcover,306,2025,2025,,2025/03/11,to-read,to-read (#1085),to-read,,,,0,0
278316,Homeric Hymns,Homer,"Homer, Homer","Jules Cashford, Nicholas Richardson","=""0140437827""","=""9780140437829""",0,4.05,Penguin Classics,Paperback,224,2003,-699,,2025/03/10,to-read,to-read (#1084),to-read,,,,0,0
30558257,"Unsouled (Cradle, #1)",Will Wight,"Wight, Will",,"=""""","=""""",0,4.15,Hidden Gnome Publishing,Kindle Edition,294,2016,2016,,2025/03/10,to-read,to-read (#1083),to-read,,,,0,0
65650229,Wellness,Nathan  Hill,"Hill, Nathan",,"=""0593536118""","=""9780593536117""",0,3.98,Knopf,Hardcover,611,2023,2023,,2025/03/08,to-read,to-read (#1082),to-read,,,,0,0
6690798,"The Passage (The Passage, #1)",Justin Cronin,"Cronin, Justin",,"=""0345504968""","=""9780345504968""",0,4.05,Ballantine Books,Hardcover,784,2010,2010,,2025/03/08,to-read,to-read (#1081),to-read,,,,0,0
62978912,Chess (Little Clothbound Classics),Stefan Zweig,"Zweig, Stefan",Anthea Bell,"=""0241630827""","=""9780241630822""",4,4.27,Penguin Classics,Hardcover,128,2024,1942,2025/03/04,2025/03/02,2025,2025 (#12),read,,,,1,0
200776812,Butter,Asako Yuzuki,"Yuzuki, Asako",Polly Barton,"=""0063236400""","=""9780063236400""",0,3.49,Ecco,Hardcover,464,2024,2017,,2025/03/03,to-read,to-read (#1080),to-read,,,,0,0
20940011,"The Society of the Crossed Keys: Selections from the Writings of Stefan Zweig, Inspirations for The Grand Budapest Hotel",Stefan Zweig,"Zweig, Stefan","Wes Anderson, Anthea Bell, George Prochnik","=""1782271074""","=""9781782271079""",0,3.91,Pushkin Press,Paperback,272,2014,2014,,2025/03/02,to-read,to-read (#1079),to-read,,,,0,0
59410869,Mr. President (Penguin Classics),Miguel Ángel Asturias,"Asturias, Miguel Ángel","David Unger, Mario Vargas Llosa, Gerald Martin","=""0143136380""","=""9780143136385""",3,3.97,Penguin Classics,Paperback,282,2022,1946,2025/03/01,2025/02/26,2025,2025 (#11),read,,,,1,0
211003831,"Money, Lies, and God: Inside the Movement to Destroy American Democracy",Katherine Stewart,"Stewart, Katherine",,"=""163557854X""","=""9781635578546""",0,4.26,Bloomsbury Publishing,Hardcover,352,2025,,,2025/03/01,to-read,to-read (#1078),to-read,,,,0,0
5490,Children of the Alley,Naguib Mahfouz,"Mahfouz, Naguib",Peter Theroux,"=""0385264739""","=""9780385264730""",0,4.08,Anchor,Paperback,464,1996,1959,,2025/02/26,to-read,to-read (#1077),to-read,,,,0,0
205363984,Taiwan Travelogue,Yáng Shuāng-zǐ,"Shuāng-zǐ, Yáng","楊双子, Lin King","=""1644453150""","=""9781644453155""",4,4.15,Graywolf Press,Paperback,320,2024,2020,2025/02/25,2025/02/20,2025,2025 (#10),read,,,,1,0
542892,The Trojan Epic: Posthomerica,Quintus Smyrnaeus,"Smyrnaeus, Quintus",Alan James,"=""080188635X""","=""9780801886355""",3,3.98,Johns Hopkins University Press,Paperback,408,2007,350,2025/02/21,2025/01/28,2025,2025 (#8),read,,,,1,0
1602647,The Pythagorean Sourcebook and Library,Kenneth Sylvan Guthrie,"Guthrie, Kenneth Sylvan","David R. Fideler, Joscelyn Godwin","=""0933999518""","=""9780933999510""",3,4.27,Phanes Press,Paperback,362,1987,1919,2025/02/20,2025/02/15,2025,2025 (#9),read,,,,1,0
189657252,The Fragments of Panyassis (Illustrated),Panyassis of Halicarnassus,"Halicarnassus, Panyassis of","P.  Laskaris, Delphi  Classics","=""1801701261""","=""9781801701266""",0,0.0,Delphi Classics,Kindle Edition,153,2023,,,2025/02/19,to-read,to-read (#1076),to-read,,,,0,0
15909330,"The ""Sacred History"" of Euhemerus of Messene (Beiträge zur Altertumskunde, 312)",Marek Winiarczyk,"Winiarczyk, Marek",,"=""311027888X""","=""9783110278880""",0,3.00,De Gruyter,Hardcover,293,2013,2013,,2025/02/19,to-read,to-read (#1075),to-read,,,,0,0
173754979,James,Percival Everett,"Everett, Percival",,"=""0385550367""","=""9780385550369""",0,4.47,Knopf Doubleday,Hardcover,303,2024,2024,,2025/02/19,to-read,to-read (#1074),to-read,,,,0,0
40858227,Humans: A Brief History of How We F*cked It All Up,Tom   Phillips,"Phillips, Tom",,"=""1472259033""","=""9781472259035""",0,3.99,Wildfire,Kindle Edition,238,2018,2018,,2025/02/17,to-read,to-read (#1073),to-read,,,,0,0
217510521,Sun and Steel,Yukio Mishima,"Mishima, Yukio",,"=""""","=""9798331097240""",0,3.74,Blurb,Paperback,110,2024,,,2025/02/11,to-read,to-read (#1072),to-read,,,,0,0
62804,Sun & Steel,Yukio Mishima,"Mishima, Yukio",John Bester,"=""4770029039""","=""9784770029034""",0,3.86,Kodansha International,"Paperback, Paper Dust Jacket",108,2003,1968,,2025/02/11,to-read,to-read (#1071),to-read,,,,0,0
45000,The Island at the Center of the World: The Epic Story of Dutch Manhattan and the Forgotten Colony That Shaped America,Russell Shorto,"Shorto, Russell",,"=""1400078679""","=""9781400078677""",0,4.17,Vintage,Paperback,384,2005,2004,,2025/02/09,to-read,to-read (#1070),to-read,,,,0,0
52838315,Greenlights,Matthew McConaughey,"McConaughey, Matthew",,"=""0593139135""","=""9780593139134""",0,4.20,Crown,Hardcover,289,2020,2020,,2025/02/09,to-read,to-read (#1069),to-read,,,,0,0
10889783,Erasure,Percival Everett,"Everett, Percival",,"=""1555975992""","=""9781555975999""",4,4.17,Graywolf Press,Paperback,265,2011,2001,2025/02/09,2025/01/13,2025,2025 (#7),read,,,,1,0
17737025,"My Age of Anxiety: Fear, Hope, Dread, and the Search for Peace of Mind",Scott Stossel,"Stossel, Scott",,"=""0307269876""","=""9780307269874""",0,3.85,Knopf,Hardcover,416,2014,,,2025/02/07,to-read,to-read (#1068),to-read,,,,0,0
210223811,Katabasis,R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",0,3.96,HarperVoyager,Kindle Edition,400,2025,2025,,2025/02/06,to-read,to-read (#1067),to-read,,,,0,0
2725957,The Guns of Navarone,Alistair MacLean,"MacLean, Alistair",,"=""0385089953""","=""9780385089951""",4,4.13,Doubleday Publishing,Hardcover,320,1957,1957,2025/02/03,2023/08/20,2025,2025 (#6),read,,,,1,0
38401533,The Cypria: Reconstructing the Lost Prequel to Homer's Iliad (Reconstructing the Lost Epics of the Trojan War),D.M. Smith,"Smith, D.M.",,"=""1546302956""","=""9781546302957""",3,4.04,CreateSpace Independent Publishing Platform,Paperback,220,2017,,2025/01/31,2025/01/11,2025,2025 (#5),read,,,,1,0
199349912,The Coin,Yasmin Zaher,"Zaher, Yasmin",,"=""1646222105""","=""9781646222100""",3,3.47,Catapult,Hardcover,240,2024,2024,2025/01/26,2024/12/28,2025,2025 (#4),read,,,,1,0
32783,A Companion to the Iliad: Based on the Translation by Richmond Lattimore,Malcolm M. Willcock,"Willcock, Malcolm M.",,"=""0226898555""","=""9780226898551""",4,4.18,The University of Chicago Press,Paperback,293,1976,1976,2025/01/20,2024/06/23,2025,2025 (#2),read,,,,1,0
23460877,The Iliad: A New Translation by Caroline Alexander,Homer,"Homer, Homer",Caroline Alexander,"=""0062046276""","=""9780062046277""",5,3.92,Ecco,Hardcover,558,2015,-800,2025/01/20,2025/01/02,2025,2025 (#3),read,,,,1,0
16054217,"The Book of Life (All Souls, #3)",Deborah Harkness,"Harkness, Deborah",,"=""0670025593""","=""9780670025596""",0,4.21,Viking Adult,Hardcover,561,2014,2014,,2019/03/10,to-read,to-read (#32),to-read,,,,0,0
677893,The Thebaid: Seven Against Thebes,Publius Papinius Statius,"Statius, Publius Papinius",Charles Stanley Ross,"=""0801886368""","=""9780801886362""",0,3.95,Johns Hopkins University Press,Paperback,386,2007,90,,2025/01/11,to-read,to-read (#1066),to-read,,,,0,0
1524,"Agamemnon (Oresteia, #1)",Aeschylus,"Aeschylus, Aeschylus","Philip de May, P.E. Easterling","=""0521010756""","=""9780521010757""",0,3.84,Cambridge University Press,Paperback,144,2003,-472,,2025/01/11,to-read,to-read (#1065),to-read,,,,0,0
53285047,"Bunny (Bunny, #1)",Mona Awad,"Awad, Mona",,"=""0525559752""","=""9780525559757""",0,3.48,Penguin Books,Paperback,305,2020,2019,,2025/01/07,to-read,to-read (#1064),to-read,,,,0,0
50269327,Earthlings,Sayaka Murata,"Murata, Sayaka",Ginny Tapley Takemori,"=""1783785675""","=""9781783785674""",0,3.60,Granta Books,Hardcover,247,2020,2018,,2025/01/07,to-read,to-read (#1063),to-read,,,,0,0
438944,"When Time Began (Earth Chronicles, #5)",Zecharia Sitchin,"Sitchin, Zecharia",,"=""006137928X""","=""9780061379284""",0,4.14,Harper,Mass Market Paperback,410,2007,1993,,2025/01/07,to-read,to-read (#1062),to-read,,,,0,0
508957,"The 12th Planet (Earth Chronicles, #1)",Zecharia Sitchin,"Sitchin, Zecharia",,"=""038039362X""","=""9780380393626""",0,3.99,Avon Books (NYC),Mass Market Paperback,438,2007,1976,,2025/01/07,to-read,to-read (#1061),to-read,,,,0,0
163,The Untouchable,John Banville,"Banville, John",,"=""0679767479""","=""9780679767473""",3,3.94,Vintage Books,Paperback,368,1998,1997,2025/01/04,2024/11/18,2025,2025 (#1),read,,,,1,0
13419553,Rashōmon and Seventeen Other Stories,Ryūnosuke Akutagawa,"Akutagawa, Ryūnosuke","Jay Rubin, Haruki Murakami","=""0140449701""","=""9780140449709""",4,4.14,Penguin,Paperback,320,2006,1927,2024/06/02,2025/01/02,2024,2024 (#41),read,,,,1,0
211721806,"Dungeon Crawler Carl (Dungeon Crawler Carl, #1)",Matt Dinniman,"Dinniman, Matt",,"=""059382024X""","=""9780593820247""",3,4.51,Ace,Hardcover,450,2024,2020,2024/11/02,2024/11/02,2024,2024 (#40),read,,,,1,0
22237161,The Sellout,Paul Beatty,"Beatty, Paul",,"=""0374260508""","=""9780374260507""",3,3.75,"Farrar, Straus and Giroux",Hardcover,289,2015,2015,2024/11/25,2021/12/29,2024,2024 (#39),read,,,,1,0
203578847,"Wind and Truth (The Stormlight Archive, #5)",Brandon Sanderson,"Sanderson, Brandon",,"=""1250319188""","=""9781250319180""",4,4.40,Tor Books,Hardcover,1344,2024,2024,2024/12/28,2024/05/08,2024,2024 (#38),read,,,,1,0
55145261,The Anthropocene Reviewed: Essays on a Human-Centered Planet,John Green,"Green, John",,"=""0525555218""","=""9780525555216""",4,4.36,Dutton,Hardcover,304,2021,2021,2022/01/10,2021/12/29,2022,2022 (#4),read,,,,1,0
142900,The Master Butchers Singing Club,Louise Erdrich,"Erdrich, Louise",,"=""0060837055""","=""9780060837051""",0,4.06,Harper Perennial,Paperback,389,2016,2003,,2024/12/06,to-read,to-read (#1060),to-read,,,,0,0
13602426,The Round House,Louise Erdrich,"Erdrich, Louise",,"=""0062065246""","=""9780062065247""",0,3.98,HarperCollins,Hardcover,323,2012,2012,,2024/12/06,to-read,to-read (#1059),to-read,,,,0,0
43721059,The Night Watchman,Louise Erdrich,"Erdrich, Louise",,"=""0062671200""","=""9780062671202""",0,4.09,HarperCollins,ebook,464,2020,2020,,2024/12/06,to-read,to-read (#1058),to-read,,,,0,0
199793431,The Mighty Red,Louise Erdrich,"Erdrich, Louise",,"=""0063277050""","=""9780063277052""",0,3.83,Harper,Hardcover,384,2024,2024,,2024/12/06,to-read,to-read (#1057),to-read,,,,0,0
197798168,All Fours,Miranda July,"July, Miranda",,"=""0593190262""","=""9780593190265""",0,3.47,Riverhead Books,Hardcover,336,2024,2024,,2024/12/06,to-read,to-read (#1056),to-read,,,,0,0
174156150,"The Achilles Trap: Saddam Hussein, the C.I.A., and the Origins of America's Invasion of Iraq",Steve Coll,"Coll, Steve",,"=""0525562265""","=""9780525562269""",0,4.37,Penguin Press,Hardcover,576,2024,2024,,2024/12/06,to-read,to-read (#1055),to-read,,,,0,0
957648,Weaveworld,Clive Barker,"Barker, Clive",,"=""0671612689""","=""9780671612689""",3,4.13,Poseidon Press,Hardcover,584,1987,1987,2024/12/06,2024/11/14,2024,2024 (#37),read,,,,1,0
60499589,The Dream Hotel,Laila Lalami,"Lalami, Laila","Frankie Corzo, Barton Caplan","=""""","=""""",0,3.62,Random House Audio,Audible Audio,11,2025,2025,,2024/12/02,to-read,to-read (#1054),to-read,,,,0,0
12738,The Transit of Venus,Shirley Hazzard,"Hazzard, Shirley",,"=""1860491812""","=""9781860491818""",0,4.00,Virago,Paperback,337,1995,1980,,2024/11/28,to-read,to-read (#1053),to-read,,,,0,0
322067,"Soldier of the Mist (Latro, #1)",Gene Wolfe,"Wolfe, Gene",,"=""0812558154""","=""9780812558159""",0,3.95,Tor Books,Paperback,335,1987,1986,,2024/11/28,to-read,to-read (#1052),to-read,,,,0,0
103749,Persian Fire: The First World Empire and the Battle for the West,Tom Holland,"Holland, Tom",,"=""0385513119""","=""9780385513111""",0,4.17,Doubleday,Hardcover,418,2006,2005,,2024/11/28,to-read,to-read (#1051),to-read,,,,0,0
13812,"Magician: Apprentice (The Riftwar Saga, #1)",Raymond E. Feist,"Feist, Raymond E.",,"=""0553564943""","=""9780553564945""",0,4.17,Bantam Spectra,Mass Market Paperback,485,1994,1982,,2024/11/28,to-read,to-read (#1050),to-read,,,,0,0
43916,"Magician (The Riftwar Saga, #1-2)",Raymond E. Feist,"Feist, Raymond E.",,"=""0586217835""","=""9780586217832""",0,4.32,HarperCollins,Paperback,681,2009,1982,,2024/11/28,to-read,to-read (#1049),to-read,,,,0,0
